year,state_abbr,state_name,population,violent_crime,property_crime,total_crime,homicide,rape_legacy,rape_legacy_cleaned,aggravated_assault,robbery,rape_revised,rape_revised_cleaned,burglary,larceny,motor_vehicle_theft,violent_crime_rate_100k,%violent_crime_100k,property_crime_rate_100k,%property_crime_100k,%total_crime_per_100k
2012,WY,Wyoming,576626,1161,13222,14383,14,154.0,154,932,61,,0,2125,10513,584,201.3436786,0.2013436786,2292.994072,2.292994072,2.494337751
2012,WV,West Virginia,1856680,5943,44500,50443,70,415.0,415,4623,835,,0,11466,30800,2234,320.087468,0.320087468,2396.75119,2.39675119,2.716838658
2012,WI,Wisconsin,5724554,16254,140780,157034,169,1228.0,1228,10165,4692,,0,27931,104619,8230,283.9347834,0.2839347834,2459.230885,2.459230885,2.743165668
2012,WA,Washington,6895318,20553,254377,274930,217,2250.0,2250,12285,5801,,0,61376,166338,26663,298.0718221,0.2980718221,3689.126448,3.689126448,3.98719827
2012,VT,Vermont,625953,891,15653,16544,8,131.0,131,638,114,,0,4179,11014,460,142.3429555,0.1423429555,2500.666983,2.500666983,2.643009938
2012,VA,Virginia,8186628,15676,178434,194110,322,1505.0,1505,9131,4718,,0,29651,139654,9129,191.4829891,0.1914829891,2179.578698,2.179578698,2.371061687
2012,UT,Utah,2854871,5939,86284,92223,52,975.0,975,3807,1105,,0,13095,67157,6032,208.0304154,0.2080304154,3022.343216,3.022343216,3.230373632
2012,TX,Texas,26060796,106475,876459,982934,1148,7715.0,7715,67227,30385,,0,205002,606425,65032,408.5638827,0.4085638827,3363.132116,3.363132116,3.771695999
2012,TN,Tennessee,6454914,41213,217925,259138,400,2047.0,2047,30615,8151,,0,56231,148731,12963,638.4748116,0.6384748116,3376.110046,3.376110046,4.014584857
2012,SD,South Dakota,834047,2701,17326,20027,23,600.0,600,1921,157,,0,3280,12973,1073,323.8426611,0.3238426611,2077.340965,2.077340965,2.401183626
2012,SC,South Carolina,4723417,26474,181049,207523,332,1712.0,1712,19919,4511,,0,45222,122340,13487,560.4840733,0.5604840733,3833.009027,3.833009027,4.3934931
2012,RI,Rhode Island,1050304,2657,27039,29696,26,292.0,292,1614,715,,0,5929,18478,2632,252.9743769,0.2529743769,2574.397508,2.574397508,2.827371885
2012,PA,Pennsylvania,12764475,45384,276562,321946,707,3371.0,3371,25571,15735,,0,57040,204409,15113,355.5492882,0.3555492882,2166.653936,2.166653936,2.522203224
2012,OR,Oregon,3899801,9638,126417,136055,91,1159.0,1159,5969,2419,,0,22051,94114,10252,247.1408156,0.2471408156,3241.626945,3.241626945,3.48876776
2012,OK,Oklahoma,3815780,18102,130969,149071,220,1622.0,1622,13012,3248,,0,36094,83131,11744,474.3984192,0.4743984192,3432.299556,3.432299556,3.906697975
2012,OH,Ohio,11553031,34827,370435,405262,478,3813.0,3813,15140,15396,,0,105312,245372,19751,301.4533589,0.3014533589,3206.388003,3.206388003,3.507841362
